3100 S MANCHESTER ST APT 1032,,FALLS CHURCH,VA,22044    
3737 Ashford Dunwoody Rd,,Atlanta,GA,
825 W GOLF VIEW DR,,TUCSON,AZ,857379130
1806 BRACKENBURY PL,,MONTGOMERY,AL,361171752
435 BROWN RD,,FAYETTEVILLE,GA,302155643
5090 Richmond Ave,Apt 84,Houston,TX,
8791 ABBEY RIDGE AVE,,LAS VEGAS,NV,89149    
4810 N 31st Pl,,Phoenix,AZ,
88 SOUTH 10TH STR,#1B,BROOKLYN,NY,11211    
15100 W 10 MILE RD,,OAK PARK,MI,000048237
1912 N PARHAM ROAD,,RICHMOND,VA,
2228 WINSTON DR,,STERLING HEIGHTS,MI,000048310
220 26TH ST NW,APT 1304,ATLANTA,GA,303091916
513 BOYD SPRINGS RD,,LAPINE,AL,36046    
539 GREY HAWK WAY,,FAIRBURN,GA,
3317 GABLES DR NE,,ATLANTA,GA,30319    
2250 LAKESHORE AVE,APT 6,OAKLAND,CA,946061058
435 Kennesaw Ave,,Marietta,GA,
1141 E LAS PALMARITAS DR,,PHOENIX,AZ,85020    
,,,AK,
2606 BYBEE BRANCH RD,,MCMINNVILLE,TN,37110    
9707 W PLEASANT VALLEY RD,,SUN CITY,AZ,853512051
129 LAKE CHATEAU DR,,HERMITAGE,TN,370763010
608 FIELDBROOK CT,,MONTGOMERY,AL,361173324
639 BLUFF MANOR CIR,,SAINT CHARLES,MO,63303    
9132 MARIE ST,,LIVONIA,MI,000048150
681 W FRUIT TREE LN,,QUEEN CREEK,AZ,
PO BOX 332,,SNOWFLAKE,AZ,859370332
710 N 13TH ST,,PHOENIX,AZ,85006    
280 LAKEVIEW TRL,,COVINGTON,GA,30016    
1115 LILLY RD,,IOTA,LA,70543    
28 DIXON ST,,NEWNAN,GA,302631653
32461 OLDE FRANKLIN DR,,FARMINGTON HILLS,MI,000048334
2512 HIBISCUS AVE APT 4,,MCALLEN,TX,785011652
6329 SAINT CROIX TRL N,,STILLWATER,MN,550826935
4139 E MCDOWELL RD,LOT C93,PHOENIX,AZ,
5937 PORTMOUTH DR,,MONTGOMERY,AL,
5764 PORT CONCORDE LANE,,ORLANDO,FL,
614 W BUENA VISTA AVE,,NORTH AUGUSTA,SC,29841    
6910 W Fayetteville Rd,,Riverdale,GA,30296    
106 PRESERVE PKY,,BALL GROUND,GA,30107    
1832 BANBRIDGE DR,,CLARKSVILLE,IN,47129    
6690 DRESSAGE CROSSING,,CUMMING,GA,
6808 MERRYWOOD DR,,FAIRBURN,GA,30213    
740 LA PLAYA ST,APT 229,SAN FRANCISCO,CA,941213265
12642 N 111TH DR,,YOUNGTOWN,AZ,853631104
7715 EL PENSADOR DR,,DALLAS,TX,752484309
233 TROUT HAVEN RD,,RICHMONDVILLE,NY,12149    
415 BETHESTA PARK TRAIL,,LAWRENCEVILLE,GA,30044    
137 Gina Drive,,Carrollton,GA,301160000
521 ROCKBRIDGE RD NW,,LILBURN,GA,300476026
4537 PINE PARK DRIVE,,MONTGOMERY,AL,
8758 VAUGHN RD,,MONTGOMERY,AL,361178863
595 SPALDING DRIVE,,ATLANTA,GA,30328    
3804 CRIMSON CLOVER AVE,,WAKE FOREST,NC,275873885
203 REX HYDE RD,,NEWNAN,GA,30263    
180 ANNETTA RD,,WEATHERFORD,TX,
5020 TWIN LAKES DR,,OLD HICKORY,TN,371381238
305 OAKWOOD TRACE,,ACWORTH,GA,30102    
5035 WILLOW BLUFF,,ATLANTA,GA,
60 PARK AVENUE,,HAMDEN,CT,06517    
2699 EDMUND DR,,GULF BREEZE,FL,
